Subject,Filename,OnsetFrame,ApexFrame,3label,OffsetFrame
1,EP02_01f,46,59,1,86
1,EP19_05f,396,416,0,446
1,EP19_06f,36,71,0,161
2,EP01_11f,46,91,0,96
2,EP02_04f,31,79,0,141
2,EP03_02f,16,81,0,136
2,EP06_01f,56,121,0,155
2,EP06_02f,36,64,0,111
2,EP09_01,26,56,1,125
2,EP11_01,16,69,2,106
2,EP13_04,21,51,2,76
2,EP14_01,81,114,2,126
3,EP01_2,51,69,2,91
3,EP07_04,21,81,0,106
3,EP09_03,61,76,0,121
3,EP18_06,26,81,0,126
3,EP19_08,101,121,0,141
4,EP12_02f,356,387,0,406
4,EP13_06f,71,108,0,161
5,EP02_07,36,66,2,101
5,EP03_01,41,81,1,101
5,EP03_06,33,66,2,83
5,EP04_05,16,44,2,66
5,EP04_06,6,49,2,91
5,EP12_03f,11,36,2,61
6,EP01_01,81,111,1,136
6,EP02_31,99,131,2,148
6,EP15_02,56,79,2,106
6,EP16_05,94,114,0,151
7,EP01_01,79,109,0,156
7,EP06_02_01,11,66,0,91
7,EP06_02_02,36,81,0,91
7,EP08_02,141,174,0,191
7,EP15_01,36,64,0,91
8,EP13_01f,49,86,0,126
9,EP02_01f,21,74,1,91
9,EP05_05,46,84,1,96
9,EP06_01f,66,144,0,186
9,EP06_02f,36,101,1,131
9,EP09_04,26,71,0,146
9,EP09_05,26,81,0,111
9,EP09f,26,64,1,86
9,EP13_01,31,74,0,121
9,EP15_05,56,91,1,111
9,EP17_08,6,41,0,76
11,EP08_01f,96,121,0,146
11,EP13_02f,51,111,0,141
11,EP13_03f,6,49,0,81
11,EP13_05f,16,61,0,111
12,EP01_02,31,99,0,106
12,EP02_05,41,61,2,140
12,EP03_04,60,129,1,156
12,EP04_16,36,56,0,135
12,EP06_06,36,76,2,111
12,EP08_01,46,81,2,106
12,EP08_03,76,114,2,156
12,EP08_07,111,134,1,186
12,EP09_02,16,59,0,101
12,EP09_06,66,111,0,111
12,EP16_02,136,189,0,226
13,EP03_01,31,86,1,111
13,EP09_10,51,76,1,126
14,EP09_03,6,29,1,41
14,EP09_04,21,71,1,106
14,EP09_06,11,59,1,91
15,EP03_02,16,49,1,76
15,EP04_02,21,46,2,111
15,EP08_02,21,54,0,78
16,EP01_05,66,106,1,156
16,EP01_08,73,94,0,96
16,EP04_02f,181,269,1,271
17,EP01_06,81,86,1,121
17,EP01_13,76,134,2,166
17,EP01_15,86,101,1,126
17,EP02_01,91,119,0,136
17,EP02_03,81,109,0,131
17,EP02_11,161,181,0,210
17,EP02_18f,91,134,0,181
17,EP03_02,118,139,0,161
17,EP03_09,96,132,1,161
17,EP05_02,25,91,1,121
17,EP05_03,21,56,1,101
17,EP05_03f,11,59,0,76
17,EP05_04,6,39,0,71
17,EP05_09,121,144,0,196
17,EP05_10,111,129,0,151
17,EP06_04,71,91,0,161
17,EP06_07,216,225,1,246
17,EP06_08,156,194,0,231
17,EP07_01,21,71,0,115
17,EP08_02,21,66,0,88
17,EP10_06,104,121,0,161
17,EP11_01,9,31,0,53
17,EP11_02,36,81,0,121
17,EP12_03,131,156,0,184
17,EP13_03,51,79,0,136
17,EP13_04,86,104,0,121
17,EP13_06,86,109,0,131
17,EP13_09,6,46,1,101
17,EP15_04,109,131,0,185
17,EP16_01f,8,29,0,71
17,EP18_07,36,69,0,103
19,EP01_01f,121,189,1,220
19,EP01_02f,36,61,1,127
19,EP02_01,91,119,2,151
19,EP06_01f,146,174,2,201
19,EP08_02,76,119,1,155
19,EP11_04f,76,96,2,131
19,EP13_01,71,104,0,156
19,EP16_01,86,109,0,136
19,EP16_02,61,79,0,101
19,EP19_02,106,129,2,151
19,EP19_03,61,91,2,116
20,EP01_03,76,101,0,126
20,EP06_03,31,49,0,61
21,EP05_02,111,141,0,206
22,EP01_12,50,119,0,146
22,EP13_08,151,216,0,256
23,EP02_01,36,86,1,130
23,EP03_14f,51,91,0,111
23,EP04_03f,16,91,0,115
23,EP05_24f,106,141,0,171
23,EP05_25f,51,86,0,131
23,EP12_02f,46,84,0,130
23,EP12_03,86,129,0,161
23,EP13_04,21,41,0,86
24,EP01_08,33,69,0,131
24,EP02_02f,71,94,0,106
24,EP18_03,53,76,2,88
25,EP09_02,76,101,0,111
25,EP10_01,101,129,0,176
25,EP10_10,61,91,2,158
25,EP12_01,131,151,2,186
25,EP18_04f,76,116,0,116
26,EP03_10,116,149,1,201
26,EP09_04,31,56,0,91
26,EP09_09,46,76,0,101
26,EP13_02,32,54,1,116
26,EP13_11,20,59,0,101
26,EP16_01,26,54,0,76
26,EP18_44,11,36,0,71
26,EP18_47,6,49,0,86
26,EP18_49,16,54,0,80
26,EP18_50,78,99,0,161
26,EP18_51,21,64,0,81
