Subject,Filename,Onset Frame,Apex Frame,Offset Frame,3label
6,006_1_2,5562,5588,5632,0
6,006_1_3,3912,3948,3988,0
6,006_1_4,2324,2368,2403,0
6,006_1_5,5343,5388,5424,0
6,006_1_6,7160,7197,7259,0
6,006_2_4,180,217,274,0
6,006_3_4,639,668,702,0
6,006_3_5,1787,1829,1856,2
6,006_5_10,1436,1465,1514,0
6,006_5_11,2130,2190,2226,0
6,006_5_9,5258,5282,5351,2
7,007_3_1,2046,2062,2091,0
7,007_5_3,2759,2797,2835,2
7,007_6_1,497,511,541,1
7,007_6_2,1296,1326,1377,1
7,007_6_3,2560,2592,2617,1
7,007_6_5,649,673,723,1
7,007_7_1,7030,7056,7070,2
7,007_7_5,554,585,637,1
9,009_2_1,3577,3602,3641,0
9,009_3_2,1856,1891,1932,0
9,009_3_3,1968,2010,2045,0
9,009_3_4,3334,3370,3419,2
10,010_2_1,192,206,228,0
10,010_2_8,1211,1239,1288,0
10,010_4_1,3528,3548,3557,0
10,010_4_2,6708,6730,6738,0
11,011_1_4,3080,3131,3168,0
11,011_2_1,2029,2050,2068,0
11,011_2_2,2069,2114,2125,0
11,011_2_3,3885,3921,3974,0
11,011_2_7,3361,3402,3449,1
11,011_3_1,2363,2395,2411,0
11,011_3_4,2841,2891,2920,1
11,011_3_5,2944,3007,3031,1
11,011_3_6,3208,3253,3308,1
11,011_4_1,6750,6771,6803,0
11,011_4_12,4158,4194,4254,0
11,011_4_13,2755,2791,2853,0
11,011_4_2,2980,3014,3037,0
11,011_5_1,1048,1071,1088,0
11,011_6_1,4422,4463,4486,0
11,011_6_13,4523,4585,4619,1
11,011_6_5,2504,2571,2602,1
11,011_6_6,2607,2649,2680,1
11,011_7_1,1220,1236,1269,0
11,011_7_10,3599,3630,3680,0
12,012_3_1,4621,4651,4676,0
12,012_3_2,4697,4735,4796,0
12,012_7_1,7871,7889,7923,2
13,013_1_10,3802,3824,3890,0
13,013_1_11,4490,4544,4582,0
13,013_1_12,706,739,802,0
13,013_1_8,841,867,919,0
13,013_1_9,5658,5680,5739,0
13,013_7_7,2077,2135,2167,0
14,014_1_1,2856,2881,2897,0
14,014_2_3,4616,4645,4705,2
14,014_2_4,3874,3925,3968,1
14,014_3_3,2635,2646,2714,1
14,014_3_4,1426,1457,1523,1
14,014_5_2,469,498,557,0
14,014_6_1,1316,1334,1350,1
14,014_6_2,1190,1221,1253,1
14,014_6_3,128,171,196,1
14,014_7_1,3529,3560,3598,1
15,015_5_1,6380,6406,6442,0
15,015_5_2,6587,6615,6659,0
15,015_5_3,6050,6073,6127,2
16,016_7_1,2275,2299,2323,0
16,016_7_2,3840,3854,3892,2
16,016_7_3,4395,4421,4447,0
16,016_7_5,6120,6155,6207,2
16,016_7_8,12256,12324,12349,1
17,017_3_1,312,337,387,0
17,017_3_2,83,116,165,2
17,017_3_4,174,199,264,0
17,017_6_1,1107,1143,1178,0
18,018_3_1,1405,1456,1500,0
18,018_5_1,6991,7026,7060,0
18,018_7_1,10133,10156,10175,2
19,019_4_1,4496,4517,4550,1
20,020_4_1,3440,3469,3497,0
20,020_4_2,1482,1516,1528,1
20,020_7_1,8518,8551,8577,0
20,020_7_10,9071,9140,9165,1
21,021_7_1,5589,5621,5646,0
21,021_7_2,2853,2882,2942,0
22,022_2_3,402,438,501,0
22,022_3_2,380,421,428,0
22,022_3_3,3659,3683,3697,1
22,022_4_1,492,505,569,0
22,022_5_1,335,357,405,1
23,023_1_1,5024,5037,5074,0
24,024_2_1,3763,3779,3835,0
26,026_1_1,295,323,370,0
26,026_2_1,2881,2918,2947,0
26,026_2_2,2952,2978,3028,0
26,026_2_3,2607,2642,2685,0
26,026_3_3,1704,1736,1737,0
26,026_3_4,3582,3608,3640,0
26,026_5_1,5073,5089,5146,0
26,026_6_1,3848,3882,3941,0
26,026_7_3,2750,2783,2844,0
28,028_4_1,1071,1134,1134,0
28,028_4_3,370,424,441,2
28,028_4_4,1288,1367,1376,2
30,030_1_1,2379,2422,2460,0
30,030_1_2,6344,6392,6434,0
30,030_5_1,1921,1960,2001,0
31,031_3_1,3831,3852,3886,0
32,032_3_1,4896,4930,4970,0
32,032_3_2,5126,5127,5207,0
32,032_4_2,408,436,479,0
32,032_6_1,4307,4325,4366,0
33,033_1_3,5957,5988,6009,1
33,033_1_4,6541,6573,6609,0
33,033_1_5,6889,6926,6973,0
33,033_2_1,695,749,776,0
33,033_2_2,2117,2149,2215,0
34,034_3_1,3129,3159,3217,0
34,034_7_2,1578,1612,1655,0
34,034_7_3,3636,3672,3719,0
35,035_1_1,9649,9667,9691,0
35,035_4_1,231,245,263,0
35,035_4_2,1509,1534,1574,0
35,035_5_2,2409,2443,2473,0
35,035_5_3,253,293,341,0
35,035_6_3,180,210,236,0
35,035_7_1,7809,7819,7853,2
35,035_7_2,823,855,918,0
36,036_7_3,2264,2339,2363,0
37,037_3_2,3196,3214,3295,0
