data,subject,clip,3label,onset_frame,apex_frame,offset_frame
smic,20,s20_ne_01,0,17581039,17581046,17581055
smic,20,s20_ne_02,0,17581713,17581729,17581744
smic,20,s20_ne_03,0,17625391,17625409,17625424
smic,20,s20_ne_04,0,17651135,17651146,17651157
smic,20,s20_ne_05,0,17664393,17664408,17664423
smic,20,s20_ne_06,0,17668815,17668824,17668835
smic,20,s20_ne_07,0,17668953,17668965,17668969
smic,20,s20_ne_08,0,17670640,17670656,17670684
smic,20,s20_ne_09,0,17678517,17678539,17678552
smic,20,s20_ne_10,0,17707991,17708007,17708009
smic,20,s20_ne_11,0,17841447,17841465,17841478
smic,20,s20_ne_12,0,17832772,17832794,17832809
smic,20,s20_ne_13,0,17835887,17835907,17835924
smic,20,s20_ne_14,0,17837691,17837725,17837740
smic,20,s20_po_01,1,17598752,17598783,17598798
smic,20,s20_po_02,1,17646868,17646888,17646910
smic,20,s20_po_03,1,17748546,17748569,17748570
smic,20,s20_sur_01,2,17597115,17597132,17597152
smic,20,s20_sur_02,2,17692849,17692864,17692870
smic,20,s20_sur_03,2,17761454,17761479,17761502
smic,20,s20_sur_04,2,17763111,17763134,17763151
smic,20,s20_sur_05,2,17771577,17771588,17771600
smic,14,s14_ne_01,0,34208,34238,34258
smic,14,s14_ne_02,0,37634,37653,37671
smic,14,s14_ne_03,0,199541,199570,199598
smic,14,s14_po_01,1,212541,212569,212590
smic,14,s14_po_02,1,285183,285214,285231
smic,14,s14_sur_01,2,81902,81923,81939
smic,14,s14_sur_02,2,86607,86623,86642
smic,14,s14_sur_03,2,106337,106348,106375
smic,14,s14_sur_04,2,233391,233414,233435
smic,14,s14_sur_05,2,278976,278995,279016
smic,18,s18_ne_01,0,1644341,1644374,1644379
smic,18,s18_ne_02,0,1760613,1760640,1760658
smic,18,s18_sur_01,2,1642685,1642698,1642721
smic,18,s18_sur_02,2,1692902,1692917,1692933
smic,18,s18_sur_03,2,1695782,1695794,1695809
smic,18,s18_sur_04,2,1712971,1712989,1713006
smic,18,s18_sur_05,2,1859405,1859422,1859444
smic,19,s19_po_01,1,32615570,32615592,32615604
smic,19,s19_sur_01,2,32483855,32483872,32483904
smic,13,s13_po_01,1,90884,90904,90929
smic,13,s13_po_02,1,92721,92735,92753
smic,13,s13_po_03,1,93081,93102,93117
smic,13,s13_po_04,1,93850,93882,93899
smic,13,s13_po_05,1,94312,94335,94358
smic,13,s13_po_06,1,103371,103388,103412
smic,13,s13_po_07,1,109647,109664,109677
smic,13,s13_po_08,1,110314,110331,110349
smic,13,s13_po_09,1,141444,141463,141484
smic,13,s13_po_10,1,143012,143033,143057
smic,12,s12_po_01,1,8463663,8463689,8463712
smic,12,s12_po_02,1,8468220,8468232,8468245
smic,12,s12_po_03,1,8473248,8473266,8473294
smic,12,s12_po_04,1,8556703,8556714,8556730
smic,12,s12_po_05,1,8557042,8557053,8557072
smic,12,s12_po_06,1,8559942,8559964,8559981
smic,12,s12_po_07,1,8596344,8596378,8596393
smic,12,s12_po_08,1,8641010,8641036,8641050
smic,12,s12_sur_01,2,8394314,8394332,8394351
smic,11,s11_ne_01,0,425358,425371,425378
smic,11,s11_ne_02,0,514569,514588,514599
smic,11,s11_ne_03,0,559504,559527,559544
smic,11,s11_po_01,1,472873,472914,472921
smic,11,s11_po_02,1,609978,609994,610025
smic,11,s11_po_03,1,622777,622795,622820
smic,11,s11_sur_01,2,653392,653402,653423
smic,15,s15_ne_01,0,729591,729612,729640
smic,15,s15_po_01,1,923822,923833,923870
smic,15,s15_sur_01,2,835624,835630,835656
smic,15,s15_sur_02,2,925646,925671,925686
smic,1,s1_ne_01,0,559740,559753,559775
smic,1,s1_ne_02,0,563854,563867,563885
smic,1,s1_ne_03,0,658536,658549,658562
smic,1,s1_po_01,1,701843,701860,701865
smic,1,s1_po_02,1,702609,702612,702638
smic,1,s1_sur_01,2,549990,550007,550022
smic,2,s2_po_01,1,76518,76536,76546
smic,2,s2_sur_01,2,90868,90878,90894
smic,2,s2_sur_02,2,106180,106213,106214
smic,2,s2_sur_03,2,112010,112027,112050
smic,2,s2_sur_04,2,131313,131330,131347
smic,2,s2_sur_05,2,219114,219129,219143
smic,3,s3_ne_01,0,257900,257913,257925
smic,3,s3_ne_02,0,302330,302340,302356
smic,3,s3_ne_03,0,302370,302375,302380
smic,3,s3_ne_04,0,303090,303101,303110
smic,3,s3_ne_05,0,304365,304376,304390
smic,3,s3_ne_06,0,304979,304996,305020
smic,3,s3_ne_07,0,307920,307933,307950
smic,3,s3_ne_08,0,325380,325412,325420
smic,3,s3_ne_09,0,357430,357449,357450
smic,3,s3_ne_10,0,358085,358098,358115
smic,3,s3_ne_11,0,362132,362148,362157
smic,3,s3_ne_12,0,365106,365115,365128
smic,3,s3_ne_13,0,388781,388795,388811
smic,3,s3_ne_14,0,401504,401520,401533
smic,3,s3_ne_15,0,406314,406327,406348
smic,3,s3_ne_16,0,409046,409053,409062
smic,3,s3_ne_17,0,425101,425116,425134
smic,3,s3_ne_18,0,425330,425345,425369
smic,3,s3_ne_19,0,425879,425900,425918
smic,3,s3_ne_20,0,426679,426690,426709
smic,3,s3_ne_21,0,427607,427614,427626
smic,3,s3_ne_22,0,443812,443824,443834
smic,3,s3_po_01,1,272800,272812,272825
smic,3,s3_po_02,1,291386,291396,291419
smic,3,s3_po_03,1,293422,293430,293440
smic,3,s3_po_04,1,294795,294804,294820
smic,3,s3_po_05,1,304630,304643,304660
smic,3,s3_po_06,1,379734,379747,379759
smic,3,s3_po_07,1,387920,387938,387958
smic,3,s3_po_08,1,402194,402207,402223
smic,3,s3_po_09,1,402936,402959,402973
smic,3,s3_po_10,1,442880,442892,442902
smic,3,s3_po_11,1,443304,443313,443319
smic,3,s3_sur_01,2,308860,308878,308889
smic,3,s3_sur_02,2,397654,397662,397673
smic,3,s3_sur_03,2,399885,399888,399905
smic,3,s3_sur_04,2,401806,401844,401845
smic,3,s3_sur_05,2,402300,402315,402326
smic,3,s3_sur_06,2,403395,403403,403415
smic,4,s4_ne_01,0,104317,104326,104347
smic,4,s4_ne_02,0,147350,147364,147373
smic,4,s4_ne_03,0,148798,148807,148821
smic,4,s4_ne_04,0,219199,219211,219230
smic,4,s4_ne_05,0,219343,219357,219361
smic,4,s4_ne_06,0,219413,219425,219435
smic,4,s4_ne_07,0,229561,229578,229587
smic,4,s4_ne_08,0,230055,230068,230079
smic,4,s4_ne_09,0,232225,232234,232253
smic,4,s4_ne_10,0,244824,244848,244857
smic,4,s4_po_01,1,36219,36227,36250
smic,4,s4_po_02,1,82525,82535,82544
smic,4,s4_po_03,1,166242,166256,166277
smic,4,s4_po_04,1,191963,191976,191991
smic,4,s4_sur_01,2,62922,62941,62965
smic,4,s4_sur_02,2,69757,69770,69789
smic,4,s4_sur_03,2,85893,85903,85916
smic,4,s4_sur_04,2,89333,89341,89352
smic,4,s4_sur_05,2,196085,196092,196109
smic,5,s5_ne_01,0,1038175,1038192,1038204
smic,5,s5_sur_01,2,888353,888360,888395
smic,6,s6_ne_01,0,397681,397705,397720
smic,6,s6_ne_02,0,431016,431030,431050
smic,6,s6_sur_01,2,377459,377472,377483
smic,6,s6_sur_02,2,465510,465519,465550
smic,8,s8_ne_01,0,252626,252649,252665
smic,8,s8_ne_02,0,253559,253585,253586
smic,8,s8_ne_03,0,253737,253759,253764
smic,8,s8_ne_04,0,268321,268336,268357
smic,8,s8_ne_05,0,392225,392239,392265
smic,8,s8_ne_06,0,389675,389708,389722
smic,8,s8_ne_07,0,394020,394040,394042
smic,8,s8_ne_08,0,399100,399111,399127
smic,8,s8_ne_09,0,416956,416975,416995
smic,8,s8_po_01,1,305253,305261,305289
smic,8,s8_po_02,1,332684,332694,332711
smic,8,s8_po_03,1,405004,405032,405035
smic,8,s8_po_04,1,406204,406207,406244
smic,9,s9_po_01,1,72643,72658,72684
smic,9,s9_sur_01,2,61206,61223,61232
smic,9,s9_sur_02,2,61250,61265,61291
smic,9,s9_sur_03,2,91099,91118,91137
